gene_name,logFC,P.Value
MIR6859-1,0.12933392676517852,0.2841111611837169
RPL23AP21,0.3148272376691914,0.0016212521816339415
MTND1P23,0.5671318935914813,0.0042817067924847945
MTND2P28,0.11907148553301045,0.48901124710596644
MTCO1P12,-0.0664900602358797,0.5775284954956856
MTCO2P12,0.2803522299622836,0.011194375681401903
MTATP6P1,0.3022566898162433,0.02643669285152267
MTCO3P12,0.17966692150902402,0.08622337969576709
LINC01409,0.2860710902946048,2.5902370566805875e-4
LINC01128,0.07615930111187345,0.04345227224354003
LINC02593,-0.20854391491718352,0.17169493377517384
SAMD11,-0.018544019813793503,0.8846993222513794
NOC2L,-0.023287355951809544,0.5027908850413905
KLHL17,-0.053177226928371756,0.308076881062761
HES4,-0.11148119531565057,0.13062443575223012
ISG15,-0.06839242776395904,0.42630763277095185
AGRN,0.029181663112452343,0.6693141833964216
C1orf159,0.111962367248428,0.037264262521111605
TNFRSF18,0.03610578733213561,0.7483338435424534
TNFRSF4,-0.14853425354192018,0.31091729000765567
SDF4,-6.903691590053499e-4,0.9817407037912759
B3GALT6,-0.030563854742529616,0.39296208868379734
UBE2J2,0.014416828346687012,0.5447259947769214
SCNN1D,0.009067095737005563,0.8813747707442157
ACAP3,0.020919198768290712,0.6691521854956213
PUSL1,-0.12434234494692625,0.0034967157453079374
INTS11,0.06257269509557252,0.07668137349136649
CPTP,0.007019700203800333,0.8792447154659512
DVL1,0.006334184791232776,0.8623717438574834
MXRA8,0.10881076871702317,0.26220477214905014
AURKAIP1,-0.07230480988886571,0.08455250712865102
CCNL2,2.1508841836379331e-4,0.9959539310601397
MRPL20-AS1,-0.1205298776731081,0.0031604684210408177
MRPL20,-0.102560396488752,0.008722892891204643
ANKRD65,-0.04617526491611619,0.5119071169813827
TMEM88B,-0.3215162731485747,0.09448127311384433
VWA1,-0.12924526579745438,0.3014834527436182
ATAD3C,0.020997717066469686,0.8643404020926833
ATAD3B,-0.04107195514283261,0.426428071493426
ATAD3A,0.023248410627971026,0.539093572246021
TMEM240,-0.010680831540845648,0.8336903983716613
SSU72,-0.025262038762262625,0.32540510383101273
FNDC10,0.06542212688769529,0.23635241194417478
MIB2,0.027757128585927177,0.46245324197274773
CDK11B,0.01618257224625841,0.6705914971862812
SLC35E2B,0.038374593930289955,0.5237517215367499
CDK11A,0.03261723823694267,0.6894373184886375
NADK,0.022037362834322487,0.4806631018486668
GNB1,-0.023421025691230554,0.4656570943813402
GNB1-DT,0.023261617410304736,0.8054231990148321
CFAP74,0.15725852591603112,0.01132915580640336
GABRD,-0.07427016186128753,0.2553058321521796
PRKCZ,-0.052392537976705844,0.17007945308396197
FAAP20,0.026446982437592637,0.558893294880894
SKI,0.1498595520142891,0.021297386512774
MORN1,0.08880092018704958,0.03714846796763492
RER1,-0.03046246151461232,0.07672759699683458
PEX10,-0.03685810676236614,0.237462792281104
PLCH2,0.03741370419051813,0.5766061505172462
PANK4,-0.005583696602646238,0.8508509906894307
HES5,0.012496042296418406,0.9138528121913964
TNFRSF14,0.0355054542668698,0.5477339815814812
PRXL2B,0.11056561285105672,0.010376799895550353
TTC34,0.197248351672009,0.07152457483746782
PRDM16-DT,0.22962505010352754,0.006751548176896007
LOC124903827,0.22962505010352754,0.006751548176896007
PRDM16,0.14820903835694293,0.03480328837240284
ARHGEF16,-0.1002190515407651,0.315400164722784
MEGF6,0.02685503376914974,0.6835378331907578
TPRG1L,0.00323304285923413,0.9403447808569461
WRAP73,-0.049320066648626884,0.13605481717856424
LRRC47,-0.01652204401475789,0.6021229259743845
CEP104,0.004529245615559688,0.910474523367089
DFFB,0.06194167827981173,0.21643501022769687
C1orf174,-0.07186553722156018,0.021122637938539728
AJAP1,0.11887099893485678,0.002647469541952121
NPHP4,0.16009752937157667,0.006695421745851434
KCNAB2,0.11658352809087166,0.016052857297747657
CHD5,0.12568913033124587,0.011689762273517288
RPL22,-0.044408436668331164,0.18167178808098366
RNF207,0.16393678595788325,0.025641386662512027
ICMT,-0.08044209096673278,0.03991715242006967
GPR153,-0.008667353836620588,0.9050710348637265
ACOT7,0.007248659962719561,0.8605005118426456
TNFRSF25,0.17567456010661398,0.030421483068990132
PLEKHG5,0.12791175498776655,0.014127313540763799
NOL9,-0.014699068743075326,0.49437294235725604
ZBTB48,0.02077883564205585,0.58956577017826
KLHL21,0.09115088783782291,0.049332096342790815
PHF13,0.04112486709220483,0.2684932734142874
THAP3,-0.017841099795048138,0.6081693633409853
DNAJC11,0.013719119011059834,0.5482941143279325
CAMTA1,0.012012285836902987,0.7345626698548642
VAMP3,-0.136826320790074,0.0906127353889405
PER3,0.09661671282118761,0.08967897011362351
PARK7,-0.09768636609196935,0.02429563904705802
ERRFI1,-0.022252948037357112,0.5849361752163653
SLC45A1,-0.0013991806020299364,0.9767902559770092
RERE,0.11501481300338456,0.010674815677241057
RPL7P7,0.10383379484238206,0.3313921290754088
ENO1,-0.050584825594842946,0.15809244389456328
SLC2A5,0.14682638177384186,0.3208393234021206
GPR157,0.06791710484647621,0.5122538951263582
MIR34AHG,-0.02522757615354568,0.7768378145875907
H6PD,0.06881251335924013,0.31376168643305874
SPSB1,0.009006254751264967,0.9259298223988881
LINC02606,-0.14983677254879538,0.11951926745811867
SLC25A33,-0.125192749000473,0.025359286743121653
RPL9P11,-0.010711010544250816,0.9280374390496
TMEM201,0.04094621764282848,0.42340863132692885
PIK3CD,0.059065190901955986,0.17801399056522646
CLSTN1,0.04721546091823645,0.27504401747901613
CTNNBIP1,-0.05670725489318192,0.13632606411852605
LZIC,-0.10904956610664607,9.839394149125046e-4
NMNAT1,-0.05499727850388749,0.13642052109308034
RBP7,-0.255978873751912,0.15123928573470666
UBE4B,0.04874871339914652,0.13593184689517082
KIF1B,-0.0052948539205115485,0.8341766113774974
RNU6-37P,0.2123391926501451,0.07463756320734458
PGD,-0.02844410615450176,0.3620518162153098
CORT,-0.39541134663170696,5.060757122134083e-5
DFFA,-0.07541640603636104,0.024662020208606302
PEX14,0.06515125888413555,0.09654192001215883
CASZ1,0.2171709880374535,0.026846619343871204
TARDBP,0.050643954189021526,0.10778376618341277
SRM,0.038619817092816144,0.3133330866810259
EXOSC10,0.07010353205808312,0.08451278751577657
MTOR,0.009163339576164832,0.6788989900081949
UBIAD1,-0.03998215242514977,0.32036874135359766
DISP3,-0.04712818308488125,0.5028793920228481
FBXO2,-0.04085021451470554,0.32046576453003667
FBXO44,0.007549969716427974,0.846402303045077
FBXO6,-0.05177010643608276,0.3080875448813745
MAD2L2,-0.012585842049679405,0.7806650213969223
DRAXIN,0.04350039944290165,0.7124613369856991
AGTRAP,0.009725110113287158,0.9261526415072425
MTHFR,0.04523987991427428,0.15606608805615324
CLCN6,0.044645728288138335,0.16039062495688808
NPPA,-0.09456502066651572,0.5551257645906044
KIAA2013,-0.07742255791109674,0.029113511536792674
PLOD1,0.03264785206704436,0.5209431082883516
MFN2,-0.02207874277907961,0.395205137994748
MIIP,0.07949703239202988,0.08106522681734231
TNFRSF1B,0.11059557417807898,0.3668499207869165
VPS13D,0.02487902086755688,0.29712225491028516
DHRS3,0.04689357020138212,0.4399005778863939
LRRC38,-0.1293817150628465,0.20509991010688486
PDPN,0.18597546693316155,0.05832863243489105
PRDM2,0.13569949280561933,0.006475228771157571
KAZN,0.06141618231549082,0.17419431482855635
TMEM51-AS1,0.2111528061929829,0.0019590859746953303
TMEM51,-0.03754492743679772,0.598557276225083
FHAD1,0.18869786902063643,0.05708039184217691
EFHD2-AS1,-0.05787946010174144,0.5933134310095357
EFHD2,0.04766289135159852,0.3262531860511929
CASP9,0.05042397864422618,0.2851446263594288
DNAJC16,0.00847125647096818,0.7397617162230622
AGMAT,-0.19852294452661248,0.0062202413281007484
DDI2,0.07830202237783762,0.001207683389816565
PLEKHM2,0.06014814872176984,0.1092896110528412
SLC25A34,0.2853942271752356,6.278832611054626e-4
FBLIM1,0.15951629223125638,0.10170705717062356
UQCRHL,-0.08435957804997128,0.13467830027980768
SPEN-AS1,0.0035573258335316028,0.9394738934620919
SPEN,0.14573595658425487,0.0130522794661749
ZBTB17,-0.06609429094685022,0.04001587275966593
SRARP,0.2716275456432236,0.01595642003233
HSPB7,0.1569178733839838,0.20374277457285095
FAM131C,0.03895381501307874,0.572361200714476
EPHA2,0.47476492477884646,0.0014095730163814987
ARHGEF19,0.24490871000437217,0.030032846720670567
CPLANE2,0.04369800156765284,0.42636908049724087
FBXO42,0.06252734564749732,0.0052856034327997525
SZRD1,0.013974538816377868,0.7699543545585112
NECAP2,-0.048915618803905124,0.41835278538912934
LINC01772,-0.10309129523388223,0.44119324203477583
CROCCP3,0.15085344239993234,0.02758643997499595
LOC124904613,-0.09159072925798167,0.39231352025951516
LOC124905321,-0.09159072925798167,0.39231352025951516
LOC124905573,-0.09159072925798167,0.39231352025951516
LOC124905809,-0.09159072925798167,0.39231352025951516
NBPF1,0.01068223392366393,0.8855918700130639
CROCC,-0.04680064537202221,0.4270296375065932
MST1L,-0.08838854014985909,0.46551740857558055
LOC105376805,-0.042257085888434645,0.6890032789919713
ATP13A2,0.06172561065709335,0.1711377048256389
SDHB,-0.08300165495200465,0.06466759075095772
PADI2,-0.18694167553094154,0.11358697969077862
PADI4,0.1026724700368537,0.5254156754777661
RCC2,-0.06441756199775765,0.024803154385438602
ARHGEF10L,0.021340116363938424,0.5581533668270251
IGSF21,0.02696936184259297,0.5580879826604985
PAX7,0.023230546232065073,0.7571644664099088
ALDH4A1,0.15958965219623641,0.06837460785200136
IFFO2,0.0927953926337509,0.04654724804929138
UBR4,0.09011698936065085,0.012570501209364314
EMC1,0.048958082615867295,0.05082667920093538
MRTO4,-0.02129245258614952,0.5673960113586929
AKR7L,0.1176607566903261,0.11797785282229094
AKR7A3,0.007457571007873109,0.9179996509289927
AKR7A2,-0.023616407781404176,0.5005708484202873
SLC66A1,-0.02077086835637523,0.5654369315853994
CAPZB,-0.010153682977655211,0.6904054503540169
MICOS10,-0.1153577951647439,0.007710294474754861
NBL1,-0.04257999875131957,0.4478208797766966
MICOS10-NBL1,-0.04257999875131957,0.4478208797766966
HTR6,0.08224962934959926,0.2439003537364636
TMCO4,0.058948406610700034,0.4537223523294869
OTUD3,0.039254379859171136,0.23189461521252225
PLA2G5,-0.07015127825834712,0.5326065312934085
UBXN10,0.07969771082350229,0.27222017873617643
CAMK2N1,0.05521711524097568,0.26647842672352096
MUL1,-0.07915869320962714,0.027683883490195668
